from,to,weight,season
Mainz,1,50,2021
Nuernberg,33,3,2019
Stuttgart,42,,2021
Arsenal,5,30,2022
Hannover,2,40,2020
Jubilo Iwata,37,1,2021
Zagreb,24,60,2018
Freiburg,15,13,2020
Hamburg,23,,2019
Truiden,3,17,2020
Kiel,16,8,2019
Juventus,32,15,2021
Chelsea,6,4,2020
Monaco,8,18,2021
Sanhausen,28,,2021
Paris,14,80,2019
Bielefeld,30,,2019
Duesseldorf,11,5,2020
Sandhausen,20,30,2019
Instituto,31,17,2019
Stuttgart,25,,2020
Fenerbahce,34,,2021
Wolfsbrg,10,,2018
Paris,7,,2019
Paderborn,22,25,2021
Wacker,9,18,2019
Sporting,18,5,2022
Wolfsburg,17,,2021
Vejle,19,45,2021
Stuttgart,50,,2022
Stuttgart,44,,2021
